Competency,Description,KSD,Focus Area,URL
Business Principles,"The learner understands foundational business principles including value propositions, managing a team, profit margins, and business planning.",1_Knowledge,Career Readiness,http://remakelearning.org/competencies/#career-readiness-business-principles
Cross-Cultural Understanding,The learner understands cross-cultural relationships and collaborates with people of other cultures with humility and empathy.,1_Knowledge,Career Readiness,http://remakelearning.org/competencies/#career-readiness-cross-cultural-understanding
Moneywise,"The learner understands traditional financial tools such as checking accounts, savings accounts, investments, interest rates, and retirement accounts as well as technologies like online banking and digitally secure payments.",1_Knowledge,Career Readiness,http://remakelearning.org/competencies/#career-readiness-moneywise
Technology Concepts,"The learner understands the purpose of the hardware components of a computer, the different layers of code that make computers function, and how the web works.",1_Knowledge,Career Readiness,http://remakelearning.org/competencies/#career-readiness-technology-concepts
Dealing with Stress,The learner conducts self-assessments to identify points of stress in life and resolves stress in healthy and appropriate ways.,2_Skill,Career Readiness,http://remakelearning.org/competencies/#career-readiness-dealing-with-stress
Healthy Decisionmaking,"The learner actively considers options and makes healthy choices regarding diet, exercise habits, and workplace routines.",2_Skill,Career Readiness,http://remakelearning.org/competencies/#career-readiness-healthy-decisionmaking
Human-Centered Design,"The learner uses human-centered design methods to research, form ideas, problem-solve, iterate, communicate, receive feedback, and prototype.",2_Skill,Career Readiness,http://remakelearning.org/competencies/#career-readiness-human-centered-design
Mentoring,"The learner provides guidance and care to another person through a constructive relationship by exhibiting behaviors such as offering advice, sharing knowledge, or increasing exposure to opportunities.",2_Skill,Career Readiness,http://remakelearning.org/competencies/#career-readiness-mentoring
Research,"The learner effectively poses research questions, gathers resources, analyzes and interprets information, and forms connections between ideas. The learner uses this process to tell an accurate and compelling story.",2_Skill,Career Readiness,http://remakelearning.org/competencies/#career-readiness-research
Career Planning,The learner demonstrates a purposeful and strategic approach to future work. The learner has a specific interest in acquiring a difficult and economically valuable skill.,3_Disposition,Career Readiness,http://remakelearning.org/competencies/#career-readiness-career-planning
Collaboration,The learner works amicably with others to overcome conflicts and differences of opinion to develop work products and solve problems. The learner recognizes individual strengths and weaknesses and different leadership styles.,3_Disposition,Career Readiness,http://remakelearning.org/competencies/#career-readiness-collaboration
Giving Back,The learner appreciates the personal and global importance of giving. The learner demonstrates empathy and a willingness to sacrifice in order to help others.,3_Disposition,Career Readiness,http://remakelearning.org/competencies/#career-readiness-giving-back
Identification,The learner identifies general coding and gaming concepts such as strengths and weaknesses of different coding languages as well as the characteristics of different game genres.,1_Knowledge,Coding & Gaming,http://remakelearning.org/competencies/#coding-gaming-identification
Interactive Design Principles,"The learner understands the core aspects of interactive design, including usability, art direction, game design, and development.",1_Knowledge,Coding & Gaming,http://remakelearning.org/competencies/#coding-gaming-interactive-design-principles
Production,The learner understands different ways to publish a completed product in order to maximize its reach among different audiences.,1_Knowledge,Coding & Gaming,http://remakelearning.org/competencies/#coding-gaming-production
Roles & Relationships,The learner understands the different types of roles associated with developing and designing digital projects and products.,1_Knowledge,Coding & Gaming,http://remakelearning.org/competencies/#coding-gaming-roles-relationships
Systems Thinking,The learner understands the roles that individual components play when connected together and combines those components to produce a functioning system.,1_Knowledge,Coding & Gaming,http://remakelearning.org/competencies/#coding-gaming-systems-thinking
Communication,"The learner communicates clearly with peers, mentors, and others about concepts, goals, decisions, and processes.",2_Skill,Coding & Gaming,http://remakelearning.org/competencies/#coding-gaming-communication
Evaluation,The learner analyzes and deconstructs existing digital products in order to learn new methods or find inspiration for personal work.,2_Skill,Coding & Gaming,http://remakelearning.org/competencies/#coding-gaming-evaluation
